----------pretrain Epoch 0:----------
VAE iteration 0 	 ELBO Loss 6.1385 	 MSE Reconstruct Loss 3.7042	 BCE Reconstruct Loss 2.3174	 KL Loss 12.2676----------pretrain Epoch 89:----------
VAE iteration 0 	 ELBO Loss 6.1374 	 MSE Reconstruct Loss 3.7032	 BCE Reconstruct Loss 2.3176	 KL Loss 12.1002----------pretrain Epoch 90:----------
VAE iteration 0 	 ELBO Loss 6.1375 	 MSE Reconstruct Loss 3.7026	 BCE Reconstruct Loss 2.3169	 KL Loss 12.1087----------pretrain Epoch 91:----------
VAE iteration 0 	 ELBO Loss 6.1385 	 MSE Reconstruct Loss 3.7040	 BCE Reconstruct Loss 2.3169	 KL Loss 11.9466----------pretrain Epoch 92:----------
VAE iteration 0 	 ELBO Loss 6.1399 	 MSE Reconstruct Loss 3.7016	 BCE Reconstruct Loss 2.3185	 KL Loss 12.0310----------pretrain Epoch 93:----------
VAE iteration 0 	 ELBO Loss 6.1405 	 MSE Reconstruct Loss 3.7029	 BCE Reconstruct Loss 2.3170	 KL Loss 11.9791----------pretrain Epoch 94:----------
VAE iteration 0 	 ELBO Loss 6.1424 	 MSE Reconstruct Loss 3.7034	 BCE Reconstruct Loss 2.3177	 KL Loss 11.9218----------pretrain Epoch 95:----------
VAE iteration 0 	 ELBO Loss 6.1429 	 MSE Reconstruct Loss 3.7021	 BCE Reconstruct Loss 2.3168	 KL Loss 12.0442----------pretrain Epoch 96:----------
VAE iteration 0 	 ELBO Loss 6.1409 	 MSE Reconstruct Loss 3.7024	 BCE Reconstruct Loss 2.3152	 KL Loss 11.8496----------pretrain Epoch 97:----------
VAE iteration 0 	 ELBO Loss 6.1432 	 MSE Reconstruct Loss 3.7029	 BCE Reconstruct Loss 2.3157	 KL Loss 11.8396----------pretrain Epoch 98:----------
VAE iteration 0 	 ELBO Loss 6.1467 	 MSE Reconstruct Loss 3.7049	 BCE Reconstruct Loss 2.3164	 KL Loss 11.7826----------pretrain Epoch 99:----------
VAE iteration 0 	 ELBO Loss 6.1439 	 MSE Reconstruct Loss 3.7019	 BCE Reconstruct Loss 2.3152	 KL Loss 11.7905----------pretrain Epoch 100:----------
VAE iteration 0 	 ELBO Loss 6.1464 	 MSE Reconstruct Loss 3.7033	 BCE Reconstruct Loss 2.3147	 KL Loss 11.8089----------pretrain Epoch 101:----------
VAE iteration 0 	 ELBO Loss 6.1488 	 MSE Reconstruct Loss 3.7014	 BCE Reconstruct Loss 2.3182	 KL Loss 11.7443----------pretrain Epoch 102:----------
VAE iteration 0 	 ELBO Loss 6.1491 	 MSE Reconstruct Loss 3.7032	 BCE Reconstruct Loss 2.3147	 KL Loss 11.7957----------pretrain Epoch 103:----------
VAE iteration 0 	 ELBO Loss 6.1500 	 MSE Reconstruct Loss 3.7040	 BCE Reconstruct Loss 2.3158	 KL Loss 11.5892----------pretrain Epoch 104:----------
VAE iteration 0 	 ELBO Loss 6.1524 	 MSE Reconstruct Loss 3.7029	 BCE Reconstruct Loss 2.3165	 KL Loss 11.7012----------pretrain Epoch 105:----------
VAE iteration 0 	 ELBO Loss 6.1528 	 MSE Reconstruct Loss 3.7041	 BCE Reconstruct Loss 2.3167	 KL Loss 11.4905----------pretrain Epoch 106:----------
VAE iteration 0 	 ELBO Loss 6.1540 	 MSE Reconstruct Loss 3.7044	 BCE Reconstruct Loss 2.3165	 KL Loss 11.4667----------pretrain Epoch 107:----------
VAE iteration 0 	 ELBO Loss 6.1565 	 MSE Reconstruct Loss 3.7058	 BCE Reconstruct Loss 2.3176	 KL Loss 11.3440----------pretrain Epoch 108:----------
VAE iteration 0 	 ELBO Loss 6.1569 	 MSE Reconstruct Loss 3.7039	 BCE Reconstruct Loss 2.3184	 KL Loss 11.3530----------pretrain Epoch 109:----------
VAE iteration 0 	 ELBO Loss 6.1575 	 MSE Reconstruct Loss 3.7039	 BCE Reconstruct Loss 2.3170	 KL Loss 11.3948----------pretrain Epoch 110:----------
VAE iteration 0 	 ELBO Loss 6.1576 	 MSE Reconstruct Loss 3.7031	 BCE Reconstruct Loss 2.3166	 KL Loss 11.3809----------pretrain Epoch 111:----------
VAE iteration 0 	 ELBO Loss 6.1602 	 MSE Reconstruct Loss 3.7034	 BCE Reconstruct Loss 2.3174	 KL Loss 11.3743----------pretrain Epoch 112:----------
VAE iteration 0 	 ELBO Loss 6.1649 	 MSE Reconstruct Loss 3.7058	 BCE Reconstruct Loss 2.3194	 KL Loss 11.2829----------pretrain Epoch 113:----------
VAE iteration 0 	 ELBO Loss 6.1628 	 MSE Reconstruct Loss 3.7054	 BCE Reconstruct Loss 2.3182	 KL Loss 11.1130----------pretrain Epoch 114:----------
VAE iteration 0 	 ELBO Loss 6.1648 	 MSE Reconstruct Loss 3.7045	 BCE Reconstruct Loss 2.3194	 KL Loss 11.1358----------pretrain Epoch 115:----------
VAE iteration 0 	 ELBO Loss 6.1675 	 MSE Reconstruct Loss 3.7048	 BCE Reconstruct Loss 2.3199	 KL Loss 11.1602----------pretrain Epoch 116:----------
VAE iteration 0 	 ELBO Loss 6.1702 	 MSE Reconstruct Loss 3.7061	 BCE Reconstruct Loss 2.3219	 KL Loss 11.0010----------pretrain Epoch 117:----------
VAE iteration 0 	 ELBO Loss 6.1669 	 MSE Reconstruct Loss 3.7032	 BCE Reconstruct Loss 2.3185	 KL Loss 11.1099----------pretrain Epoch 118:----------
VAE iteration 0 	 ELBO Loss 6.1694 	 MSE Reconstruct Loss 3.7052	 BCE Reconstruct Loss 2.3185	 KL Loss 11.0314----------pretrain Epoch 119:----------
VAE iteration 0 	 ELBO Loss 6.1704 	 MSE Reconstruct Loss 3.7050	 BCE Reconstruct Loss 2.3178	 KL Loss 11.0536----------pretrain Epoch 120:----------
VAE iteration 0 	 ELBO Loss 6.1715 	 MSE Reconstruct Loss 3.7044	 BCE Reconstruct Loss 2.3190	 KL Loss 10.9711----------pretrain Epoch 121:----------
VAE iteration 0 	 ELBO Loss 6.1775 	 MSE Reconstruct Loss 3.7053	 BCE Reconstruct Loss 2.3223	 KL Loss 10.9892----------pretrain Epoch 122:----------
VAE iteration 0 	 ELBO Loss 6.1738 	 MSE Reconstruct Loss 3.7060	 BCE Reconstruct Loss 2.3188	 KL Loss 10.8176----------pretrain Epoch 123:----------
VAE iteration 0 	 ELBO Loss 6.1796 	 MSE Reconstruct Loss 3.7073	 BCE Reconstruct Loss 2.3198	 KL Loss 10.9523----------pretrain Epoch 124:----------
VAE iteration 0 	 ELBO Loss 6.1787 	 MSE Reconstruct Loss 3.7063	 BCE Reconstruct Loss 2.3196	 KL Loss 10.8536----------pretrain Epoch 125:----------
VAE iteration 0 	 ELBO Loss 6.1810 	 MSE Reconstruct Loss 3.7064	 BCE Reconstruct Loss 2.3204	 KL Loss 10.8393----------pretrain Epoch 126:----------
VAE iteration 0 	 ELBO Loss 6.1855 	 MSE Reconstruct Loss 3.7066	 BCE Reconstruct Loss 2.3234	 KL Loss 10.8151----------pretrain Epoch 127:----------
VAE iteration 0 	 ELBO Loss 6.1819 	 MSE Reconstruct Loss 3.7070	 BCE Reconstruct Loss 2.3188	 KL Loss 10.7470----------pretrain Epoch 128:----------
VAE iteration 0 	 ELBO Loss 6.1815 	 MSE Reconstruct Loss 3.7056	 BCE Reconstruct Loss 2.3191	 KL Loss 10.6808----------pretrain Epoch 129:----------
VAE iteration 0 	 ELBO Loss 6.1882 	 MSE Reconstruct Loss 3.7086	 BCE Reconstruct Loss 2.3214	 KL Loss 10.6623----------pretrain Epoch 130:----------
VAE iteration 0 	 ELBO Loss 6.1871 	 MSE Reconstruct Loss 3.7064	 BCE Reconstruct Loss 2.3213	 KL Loss 10.6317----------pretrain Epoch 131:----------
VAE iteration 0 	 ELBO Loss 6.1891 	 MSE Reconstruct Loss 3.7058	 BCE Reconstruct Loss 2.3221	 KL Loss 10.6439----------pretrain Epoch 132:----------
VAE iteration 0 	 ELBO Loss 6.1926 	 MSE Reconstruct Loss 3.7069	 BCE Reconstruct Loss 2.3225	 KL Loss 10.6570----------pretrain Epoch 133:----------
VAE iteration 0 	 ELBO Loss 6.1945 	 MSE Reconstruct Loss 3.7097	 BCE Reconstruct Loss 2.3208	 KL Loss 10.6020----------pretrain Epoch 134:----------
VAE iteration 0 	 ELBO Loss 6.1937 	 MSE Reconstruct Loss 3.7061	 BCE Reconstruct Loss 2.3231	 KL Loss 10.5240----------pretrain Epoch 135:----------
VAE iteration 0 	 ELBO Loss 6.1924 	 MSE Reconstruct Loss 3.7054	 BCE Reconstruct Loss 2.3210	 KL Loss 10.5126----------pretrain Epoch 136:----------
VAE iteration 0 	 ELBO Loss 6.1960 	 MSE Reconstruct Loss 3.7054	 BCE Reconstruct Loss 2.3220	 KL Loss 10.5613----------pretrain Epoch 137:----------
VAE iteration 0 	 ELBO Loss 6.1995 	 MSE Reconstruct Loss 3.7068	 BCE Reconstruct Loss 2.3257	 KL Loss 10.3581----------pretrain Epoch 138:----------
VAE iteration 0 	 ELBO Loss 6.1989 	 MSE Reconstruct Loss 3.7068	 BCE Reconstruct Loss 2.3220	 KL Loss 10.4411----------pretrain Epoch 139:----------
VAE iteration 0 	 ELBO Loss 6.2049 	 MSE Reconstruct Loss 3.7104	 BCE Reconstruct Loss 2.3227	 KL Loss 10.4340----------pretrain Epoch 140:----------
VAE iteration 0 	 ELBO Loss 6.2059 	 MSE Reconstruct Loss 3.7096	 BCE Reconstruct Loss 2.3268	 KL Loss 10.1840----------pretrain Epoch 141:----------
VAE iteration 0 	 ELBO Loss 6.2083 	 MSE Reconstruct Loss 3.7108	 BCE Reconstruct Loss 2.3252	 KL Loss 10.2485----------pretrain Epoch 142:----------
VAE iteration 0 	 ELBO Loss 6.2044 	 MSE Reconstruct Loss 3.7069	 BCE Reconstruct Loss 2.3225	 KL Loss 10.3083----------pretrain Epoch 143:----------
VAE iteration 0 	 ELBO Loss 6.2070 	 MSE Reconstruct Loss 3.7081	 BCE Reconstruct Loss 2.3221	 KL Loss 10.3036----------pretrain Epoch 144:----------
VAE iteration 0 	 ELBO Loss 6.2080 	 MSE Reconstruct Loss 3.7079	 BCE Reconstruct Loss 2.3227	 KL Loss 10.2330----------pretrain Epoch 145:----------
VAE iteration 0 	 ELBO Loss 6.2081 	 MSE Reconstruct Loss 3.7083	 BCE Reconstruct Loss 2.3233	 KL Loss 10.0821----------pretrain Epoch 146:----------
VAE iteration 0 	 ELBO Loss 6.2148 	 MSE Reconstruct Loss 3.7125	 BCE Reconstruct Loss 2.3226	 KL Loss 10.1568----------pretrain Epoch 147:----------
VAE iteration 0 	 ELBO Loss 6.2130 	 MSE Reconstruct Loss 3.7083	 BCE Reconstruct Loss 2.3242	 KL Loss 10.1011----------pretrain Epoch 148:----------
VAE iteration 0 	 ELBO Loss 6.2163 	 MSE Reconstruct Loss 3.7075	 BCE Reconstruct Loss 2.3277	 KL Loss 10.0277----------pretrain Epoch 149:----------
VAE iteration 0 	 ELBO Loss 6.2182 	 MSE Reconstruct Loss 3.7109	 BCE Reconstruct Loss 2.3244	 KL Loss 10.0332----------pretrain Epoch 150:----------
VAE iteration 0 	 ELBO Loss 6.2201 	 MSE Reconstruct Loss 3.7079	 BCE Reconstruct Loss 2.3254	 KL Loss 10.1341----------pretrain Epoch 151:----------
VAE iteration 0 	 ELBO Loss 6.2210 	 MSE Reconstruct Loss 3.7082	 BCE Reconstruct Loss 2.3254	 KL Loss 10.0692----------pretrain Epoch 152:----------
VAE iteration 0 	 ELBO Loss 6.2239 	 MSE Reconstruct Loss 3.7100	 BCE Reconstruct Loss 2.3263	 KL Loss 9.9713----------pretrain Epoch 153:----------
